"viento","direccion","temperatura","humedad"
9.1,10,15.35,29
9.7,10,15.25,28
9.5,17,15.95,22
9.8,12,16.45,20
9.2,7,15.35,20
10.3,12,16.05,20
9.7,15,17.15,18
8,17,17.85,19
6.5,5,20.95,16
2.7,4,24.45,14
2.9,190,26.25,14
4.9,229,26.55,14
6.8,208,27.15,12
7.1,205,27.35,12
8.7,223,26.85,13
8.9,206,26.15,12
9.4,231,25.15,13
8.1,226,23.65,17
6.6,213,22.95,16
5.2,223,21.75,22
3.2,233,19.75,25
0.3,343,17.55,31
4.1,342,18.85,23
9.5,7,15.25,27
9.8,9,13.35,39
11.3,13,13.55,38
10.7,18,14.95,31
11.1,21,15.25,27
10.1,15,15.15,27
11.2,14,15.45,26
12.6,16,13.55,30
12.5,13,14.35,29
10.6,5,18.35,22
11.6,8,22.65,12
9.3,2,24.35,10
6.8,3,26.25,9
7.7,227,25.55,15
10.2,220,24.75,16
10.1,215,24.95,16
9.3,212,24.25,17
7.7,213,23.45,13
5.8,221,22.75,13
4.5,217,22.55,10
3.8,213,21.65,17
2.9,227,19.65,20
2.2,60,19.35,21
8.9,14,16.95,20
10.9,14,15.95,24
12,29,16.55,23
11.4,20,16.85,16
11.2,12,14.65,22
12.3,15,15.55,19
9.8,15,14.25,22
8.7,22,14.75,23
11.1,14,15.55,21
10.5,15,14.95,21
8.4,10,20.65,17
5.8,350,23.05,16
5.1,262,24.65,14
6.7,228,23.95,16
8,221,24.35,17
8.2,214,24.55,15
9.3,225,23.65,16
8.2,210,23.05,18
7.8,217,21.95,17
6.6,217,21.15,21
5.2,197,21.05,18
5,226,19.85,23
2.1,233,17.55,28
5.8,5,16.75,29
11.6,13,14.25,44
11.7,24,13.85,49
12.6,12,12.15,54
12.6,14,12.45,43
10.6,12,12.55,40
7.2,6,11.55,48
11.1,12,12.35,46
10.7,17,11.95,44
10.2,14,14.05,37
9.3,11,13.45,37
8,6,17.85,27
4.2,348,20.45,25
2.5,249,22.45,19
5.5,241,23.35,17
7.5,220,23.15,20
6.4,223,22.95,21
6.6,233,22.95,23
8.3,228,22.75,21
7.8,225,22.15,23
7.5,202,20.85,32
6,227,20.15,34
6.1,228,18.45,42
4.3,222,16.55,49
1.3,197,15.35,56
6.9,32,14.75,44
9,16,13.95,45
7.4,340,12.55,51
8.6,2,12.45,47
10.8,11,13.55,44
11.6,11,13.25,46
9.9,30,13.95,46
8.3,8,12.35,49
10.9,13,11.75,52
9.4,16,13.55,45
7.3,11,17.65,33
4.3,351,20.55,27
2.9,277,22.25,23
3.4,298,23.65,21
7.3,201,24.35,20
8.4,210,23.55,22
8.1,220,23.05,22
8.7,222,22.15,22
8.2,229,21.55,22
7.5,228,20.75,26
5.6,217,19.85,26
4.8,202,19.25,26
2.2,211,18.05,28
0,332,16.45,27
3.7,52,17.15,30
8.8,18,15.15,30
9.5,17,14.65,29
10.1,8,13.25,29
9.5,14,13.05,33
10,11,12.15,35
10.4,12,11.95,36
10.9,10,12.15,37
11,11,12.05,37
8.6,9,13.75,32
6.2,8,17.45,28
1.3,347,21.15,24
3.7,218,22.35,21
6.2,198,23.15,20
7.1,226,23.15,17
8.3,219,23.35,18
7.1,207,23.65,16
7.5,221,23.35,17
7.9,206,23.25,18
6.8,212,22.35,20
6.2,217,21.15,21
6.8,213,20.15,24
4.5,225,17.65,30
1.7,275,16.05,31
1.2,52,16.85,31
7.6,7,14.75,31
8.4,356,13.55,45
9.2,12,13.15,47
9.1,5,13.25,42
9.3,6,13.25,39
10,12,13.55,40
9.9,14,14.55,37
8.6,11,14.15,36
6.3,334,14.15,35
6.9,14,18.95,28
4.1,16,21.65,24
3.7,201,23.85,20
4.7,209,24.25,19
7.2,222,24.65,19
7,229,24.75,19
8,220,24.35,21
8.2,218,23.95,24
8.2,224,22.95,27
7.5,220,21.85,28
6.1,221,21.05,32
5.2,224,19.85,36
3.8,229,18.45,39
0.8,197,17.65,40
7.2,21,17.05,43
8.7,23,16.35,42
10.5,18,16.25,38
12.4,13,15.65,40
12.6,11,13.85,50
11.8,9,13.55,50
10.8,9,13.75,45
11.4,10,13.15,48
11.5,16,13.75,48
9.8,14,14.95,45
9.3,9,18.75,37
7.8,355,21.75,28
4.4,324,24.15,17
3.7,216,25.65,17
3.7,228,26.25,17
5.4,233,26.05,16
7.4,241,25.65,13
7.7,225,25.45,13
8.6,225,24.45,15
7.6,213,23.55,16
6.9,212,22.55,19
6.3,221,21.45,21
4.3,229,19.65,26
0.8,263,18.15,29
3.8,16,18.45,29
9.7,10,15.85,29
11.3,21,17.35,29
10.8,16,16.95,30
10.4,21,16.05,32
9.8,24,17.25,30
7.3,6,15.35,33
5.3,348,13.85,37
7.1,17,14.25,37
4.2,17,16.45,33
2.6,28,19.35,29
2.2,149,22.85,23
2.8,174,24.25,19
3.8,237,25.35,18
6.3,241,26.45,17
7.4,232,25.85,18
8.9,219,25.05,19
9,217,24.25,18
8.5,215,23.75,17
8.2,222,23.15,18
7.3,218,21.75,20
5.6,220,20.65,23
4.2,224,18.75,29
0.8,285,17.35,30
4.1,7,17.55,31
7,8,15.35,34
8.9,14,15.85,28
10.1,17,16.35,22
9.4,17,15.95,18
9.6,11,14.45,21
10.1,10,14.15,23
9.4,9,14.35,27
9.7,10,14.35,30
9.5,11,15.15,31
7.6,12,19.25,27
5,2,22.75,24
3.6,325,24.65,20
6.3,226,24.65,20
7.2,231,24.25,23
8.7,225,23.85,23
8.7,230,23.45,25
7.9,220,23.15,25
8,219,22.35,28
7.6,219,22.15,29
6.6,221,21.25,29
6.5,226,19.65,38
3.6,228,17.35,47
0.9,305,16.25,50
7.5,3,15.55,47
9.8,27,14.75,48
10.8,24,14.95,36
10.4,15,14.55,31
10.5,9,13.05,35
11.7,17,13.85,34
12.5,13,12.85,37
10.7,24,13.35,35
10.2,26,15.05,32
8.8,7,13.85,34
8.8,9,17.85,23
8.3,4,20.05,18
5.3,360,22.25,15
6,210,22.25,25
6.8,219,22.15,30
8.4,221,21.25,34
7.8,222,21.55,32
7.4,221,21.45,32
6.9,211,21.35,34
7.1,200,20.85,37
7.4,218,19.95,36
4.8,229,18.05,46
2.2,212,16.85,47
9.4,20,16.35,33
10.5,16,14.75,46
13,24,14.55,53
11.9,31,15.85,47
11.1,11,14.75,39
11.3,9,12.85,46
11,17,15.55,37
10.1,14,14.15,38
9.5,11,12.85,35
8.2,11,13.95,41
6.4,41,14.75,39
7.9,16,18.85,31
6.5,359,20.75,27
2.6,342,22.95,24
1.8,257,24.95,21
7,216,25.25,24
8.2,220,23.35,29
7.9,216,22.95,29
7.9,213,22.45,30
8.6,212,21.45,32
8.6,213,20.35,34
7.6,202,19.65,38
6.4,204,17.95,47
3.5,200,16.25,57
1.6,22,15.45,60
7.8,23,15.65,48
11.1,25,15.25,43
9.7,28,15.35,38
10.1,22,15.45,36
6.5,13,15.05,36
5.2,357,13.05,44
6.6,350,12.75,43
6.1,348,13.05,46
4.6,345,12.55,51
4.6,5,13.15,51
2.7,7,16.65,42
3,184,19.25,35
2.8,191,20.85,31
4.8,212,22.75,26
6,229,23.45,24
5.6,226,23.15,28
9.3,222,23.05,30
9,212,23.35,29
8.3,216,22.35,31
7.2,205,22.05,29
6.8,211,21.15,30
6.1,224,19.55,36
4.5,215,17.65,46
1.1,249,16.35,51
4.6,16,16.25,50
10,19,15.45,50
10.9,28,15.05,52
10.1,25,15.75,46
9.3,3,13.45,54
9.3,7,13.85,55
2.8,9,13.85,55
6.7,2,15.25,50
6.8,5,13.35,55
5.2,5,14.85,52
3.5,5,18.35,42
2.1,209,21.35,35
3.6,193,22.55,31
4.3,233,23.55,30
6.2,225,23.55,31
6.4,230,23.75,30
7.7,222,23.35,30
7,220,23.25,29
6.3,217,23.05,28
6.6,231,23.35,27
6.1,216,22.35,29
5.4,231,21.25,32
3.3,240,19.45,36
0,347,18.15,41
0.9,25,17.55,44
5.4,11,17.55,41
7.3,3,15.35,40
10.7,15,12.55,53
10.5,18,14.55,42
10.8,13,13.85,42
10.2,15,14.25,42
10.6,12,14.55,44
9.9,13,15.05,44
3.4,347,15.45,43
2.2,174,17.95,37
2.6,184,20.25,32
2.8,205,23.15,27
3.8,240,24.55,24
7.5,223,24.55,27
7.6,220,24.15,26
8.1,213,23.55,23
7.8,223,23.35,20
6.7,212,22.95,20
6.7,221,22.05,27
6,215,21.35,30
5.6,220,20.25,31
3.4,235,18.25,40
0.7,172,17.15,45
4.4,7,16.55,42
10,24,15.45,52
11.4,20,15.55,49
12.2,21,15.45,47
11.9,9,12.95,54
10.7,13,13.85,45
12.5,15,13.45,46
11.8,21,13.15,49
8.5,26,14.95,44
8.4,25,15.65,37
8.8,16,18.95,27
7.7,354,21.15,28
4.5,349,23.05,21
3.5,280,24.85,16
6.7,224,24.85,20
8.2,221,24.45,23
7.2,218,23.55,27
7,215,23.35,25
7.4,218,23.45,25
6.5,225,22.55,24
6.8,223,21.75,25
5.6,223,20.45,29
3.1,234,18.95,33
0,201,17.75,35
5.6,29,17.95,35
6.5,13,15.95,44
10.5,20,16.85,39
11.4,22,15.95,40
11.9,25,16.15,42
12.6,9,14.45,49
12.2,13,13.35,53
13,10,13.35,54
12.5,13,13.35,51
9.6,7,13.85,51
9.1,8,19.45,33
6.9,1,21.85,27
5.4,359,23.65,26
3.9,308,25.35,23
8.4,222,24.45,25
6.8,223,24.75,26
7.9,210,24.55,27
8.1,208,23.45,28
7.5,213,23.15,28
6.9,216,22.25,30
6.9,212,20.95,33
5.2,217,19.85,33
3.1,221,18.65,37
0.9,281,17.65,38
1.9,7,17.55,38
3.6,355,17.25,46
10.4,11,14.55,60
11.8,8,14.75,59
12,18,14.95,53
12.5,22,15.95,49
12.4,18,15.95,50
11.1,16,15.15,52
10.8,20,15.45,53
10.9,12,14.45,54
11.2,13,19.35,42
9.2,2,21.55,39
8.3,359,23.55,35
7,347,25.25,31
9.2,226,23.85,36
7.8,226,23.65,36
8.8,218,23.55,37
8.5,208,23.65,37
8.8,224,22.65,41
7.7,225,21.75,43
6.3,212,21.35,43
5.8,202,20.25,45
4.5,212,17.95,54
1,325,17.15,52
8.2,25,16.55,56
11.4,26,16.35,57
8.9,2,15.95,56
11.1,22,15.35,58
11,12,14.45,61
11.7,11,13.85,67
11.2,2,14.15,59
9.6,9,15.05,54
7.7,3,13.65,56
3.9,354,14.45,57
6.5,352,17.65,47
5.3,2,20.05,42
5.4,341,22.15,40
3.2,318,24.05,36
9.1,229,23.55,38
8.3,229,22.85,39
8.9,216,22.75,42
7.8,221,21.05,47
6.3,217,21.45,47
6.2,202,21.55,47
6.1,211,21.45,47
6.1,231,19.75,54
2.5,212,18.45,58
1,22,17.75,61
8.6,11,16.75,49
9.2,14,15.65,50
10.6,19,14.95,53
10.3,13,13.85,60
7.8,7,13.45,64
9.1,10,14.45,57
12.6,26,15.85,53
12.2,24,15.45,57
13.2,26,14.85,56
11.1,23,16.05,55
9.8,20,17.95,50
10.8,11,19.75,47
9.6,1,21.75,44
4.5,256,22.85,43
9.4,220,20.45,51
8.4,225,20.75,47
8.2,222,21.35,40
7.4,216,21.15,40
7.4,204,20.95,36
7.1,204,20.55,40
7.3,202,19.85,42
5,207,19.35,43
2.2,222,18.25,51
1.2,53,17.55,54
7,5,16.95,55
9.1,7,15.55,64
9.7,8,15.25,64
10.7,15,14.55,66
10.5,11,14.45,67
11,7,14.15,67
10.6,8,13.35,68
7.6,10,13.25,68
4,322,12.95,69
8.2,15,16.45,54
7.8,32,19.45,48
6.4,17,21.85,41
5.4,358,24.15,35
3.6,314,26.15,29
7.7,221,25.35,34
11.1,223,24.85,36
11,229,23.45,39
8.6,220,22.45,41
7.5,225,22.05,40
7,216,21.65,35
5.8,216,21.25,41
4.8,198,20.55,42
2.9,233,19.65,45
2,211,18.85,49
0,32,17.85,53
3.7,19,18.35,52
7.6,13,17.45,50
9.1,11,15.75,42
