,0,1,2,3,4,5,6,7,8,9,10,11
263,12.4,6.2,8.6,7.4,4.8,6.0,4.9,3.1,6.4,9.9,12.2,9.5
264,6.2,8.6,7.4,4.8,6.0,4.9,3.1,6.4,9.9,12.2,9.5,12.8
265,8.6,7.4,4.8,6.0,4.9,3.1,6.4,9.9,12.2,9.5,12.8,11.3
266,7.4,4.8,6.0,4.9,3.1,6.4,9.9,12.2,9.5,12.8,11.3,8.5
267,4.8,6.0,4.9,3.1,6.4,9.9,12.2,9.5,12.8,11.3,8.5,8.7
268,6.0,4.9,3.1,6.4,9.9,12.2,9.5,12.8,11.3,8.5,8.7,11.3
269,4.9,3.1,6.4,9.9,12.2,9.5,12.8,11.3,8.5,8.7,11.3,9.2
270,3.1,6.4,9.9,12.2,9.5,12.8,11.3,8.5,8.7,11.3,9.2,12.0
271,6.4,9.9,12.2,9.5,12.8,11.3,8.5,8.7,11.3,9.2,12.0,13.0
272,9.9,12.2,9.5,12.8,11.3,8.5,8.7,11.3,9.2,12.0,13.0,13.0
273,12.2,9.5,12.8,11.3,8.5,8.7,11.3,9.2,12.0,13.0,13.0,9.5
274,9.5,12.8,11.3,8.5,8.7,11.3,9.2,12.0,13.0,13.0,9.5,10.3
275,12.8,11.3,8.5,8.7,11.3,9.2,12.0,13.0,13.0,9.5,10.3,9.2
276,11.3,8.5,8.7,11.3,9.2,12.0,13.0,13.0,9.5,10.3,9.2,6.9
